dist angle hit
243 0.160000000000004 0
457 -0.0799999999999965 0
318 0.360000000000004 0
188 -0.0799999999999965 0
344 0.0400000000000034 1
223 0 1
259 -0.0799999999999965 0
466 -0.0799999999999965 0
314 0 1
171 -0.119999999999996 0
354 0 1
358 0.640000000000004 0
335 -0.0399999999999951 1
210 0.120000000000004 0
186 -0.0799999999999965 0
330 -0.359999999999996 0
210 -0.119999999999996 0
366 0.0800000000000035 0
428 0 1
206 0.240000000000003 0
348 -0.439999999999997 0
278 0.120000000000004 0
437 0.120000000000004 0
308 0.0400000000000034 1
261 0.120000000000004 0
333 -0.0799999999999965 0
177 0.0400000000000034 1
446 -0.0399999999999951 0
281 -0.159999999999996 0
421 0.0800000000000035 0
412 0.0400000000000034 0
205 -0.239999999999996 0
453 0.0400000000000034 0
344 -0.0799999999999965 0
322 -0.199999999999996 0
402 -0.0399999999999951 0
247 -0.119999999999996 0
294 0 1
356 0 1
247 -0.0399999999999951 1
190 0.200000000000004 0
462 0.240000000000004 0
242 -0.199999999999996 0
277 0.160000000000004 0
261 -0.159999999999996 0
296 0.0400000000000034 1
227 -0.0399999999999951 1
331 0.0400000000000034 1
330 0.0800000000000035 0
348 -0.279999999999997 0
270 0.0800000000000035 0
450 0.0400000000000034 0
289 0.280000000000004 0
449 0.600000000000004 0
414 -0.479999999999997 0
471 0 1
417 0.200000000000004 0
181 -0.639999999999997 0
344 0.160000000000004 0
441 -0.199999999999996 0
169 -0.319999999999997 0
350 0.640000000000004 0
168 -0.119999999999996 0
200 0.240000000000003 0
305 0.160000000000004 0
256 -0.679999999999997 0
250 0.0400000000000034 1
451 -0.0799999999999965 0
261 0 1
437 0.280000000000004 0
442 -0.0799999999999965 0
255 0.360000000000004 0
